91	33.1	7.065
127	26.5	6.067
169	21.9	5.440
217	18.6	5.302
271	16.0	5.355
331	14.0	5.520
397	12.4	5.806
469	11.1	6.259
547	10.0	6.700
631	9.1	7.311
721	8.3	8.009
817	7.7	8.807
919	7.1	9.711
1027	6.6	10.713
1141	6.1	11.825
