91	50.8	18.435
127	36.4	10.828
169	27.4	7.584
217	21.3	6.202
271	17.1	5.674
331	14.0	5.551
397	11.6	5.600
469	 9.9	5.930
547	 8.4	6.290
631	 7.3	6.848
721	 6.4	7.508
817	 5.7	8.280
919	 5.0	9.165
1027     4.5   10.151
1141     4.1   11.252 

